Symbol,Accuracy_IA,Accuracy_Baseline,Diff_Points
AAPL,0.4897959183673469,0.5224489795918368,-3.2653061224489854
MSFT,0.5020408163265306,0.5306122448979592,-2.857142857142858
GOOGL,0.5346938775510204,0.5306122448979592,0.40816326530611624
AMZN,0.45491803278688525,0.5163934426229508,-6.147540983606559
META,0.5102040816326531,0.5183673469387755,-0.8163265306122436
NVDA,0.4816326530612245,0.5346938775510204,-5.306122448979589
TSLA,0.5368852459016393,0.5081967213114754,2.868852459016391
INTC,0.49795918367346936,0.5224489795918368,-2.448979591836742
AMD,0.4816326530612245,0.46938775510204084,1.2244897959183654
IBM,0.5387755102040817,0.5510204081632653,-1.2244897959183598
ORCL,0.5286885245901639,0.5286885245901639,0.0
NFLX,0.5061224489795918,0.5061224489795918,0.0
PLTR,0.5416666666666666,0.5138888888888888,2.777777777777779
SNOW,0.49795918367346936,0.563265306122449,-6.530612244897959
SHOP,0.47346938775510206,0.5102040816326531,-3.6734693877551017
COIN,0.5240174672489083,0.519650655021834,0.4366812227074246
ROKU,0.4790697674418605,0.4511627906976744,2.7906976744186074
U,0.5306122448979592,0.4857142857142857,4.489795918367351
CRWD,0.5183673469387755,0.5061224489795918,1.224489795918371
ZS,0.40816326530612246,0.5387755102040817,-13.061224489795919
RIVN,0.47959183673469385,0.4744897959183674,0.5102040816326481
LCID,0.5469387755102041,0.563265306122449,-1.6326530612244872
BTC-USD,0.4986072423398329,0.5069637883008357,-0.835654596100277
